analysis_param_group,parameter_name,parameter_value,objective_value,status_code,status_message,mip_gap,gurobi_runtime,wall_clock_solve_time,total_wall_clock_time,nodes_explored,num_routes,nodes_served_count,total_customer_nodes,fleet_size_used,cost_travel,cost_penalty_lateness,cost_split_delivery,total_lateness_value_agg,total_split_extra_visits_agg
Vehicle Capacity,Vehicle Capacity (V_star),117,268.3525730180198,9,Time Limit Reached,0.22742724370215078,480.04015493392944,480.0410478115082,480.1223428249359,334978.0,6,13,13,6,268.3525730180198,0.0,0,173.0,0
Vehicle Capacity,Vehicle Capacity (V_star),153,230.9926550891438,2,Optimal,0.01944452951075446,324.88072896003723,324.881432056427,324.9394516944885,385243.0,4,13,13,5,230.9926550891438,0.0,0,1786.1732438944362,0
Vehicle Capacity,Vehicle Capacity (V_star),180,220.3970768953573,2,Optimal,0.019775379043408307,356.1197099685669,356.12030506134033,356.1774961948395,333496.0,4,13,13,5,220.3970768953573,0.0,0,213.19756308801655,0
Vehicle Capacity,Vehicle Capacity (V_star),216,216.3547700333201,2,Optimal,0.01741854190637237,78.62653493881226,78.62692308425903,78.6661741733551,156267.0,4,13,13,4,216.3547700333201,0.0,0,385.603811493297,0
Vehicle Capacity,Vehicle Capacity (V_star),270,203.18077787066235,2,Optimal,0.018126615100878023,26.199634075164795,26.200026035308838,26.2393798828125,41756.0,3,13,13,4,203.18077787066235,0.0,0,1288.955423334382,0
Split Cost,Split Cost (p_s),0.1,220.3970768953573,9,Time Limit Reached,0.16822770318127828,480.03265595436096,480.03324007987976,480.084792137146,537961.0,4,13,13,5,220.3970768953573,0.0,0,377.78545369010294,0
Split Cost,Split Cost (p_s),18.75,220.3970768953573,2,Optimal,0.019149473650870052,363.55016899108887,363.5506579875946,363.60430097579956,423672.0,4,13,13,5,220.3970768953573,0.0,0,1231.0,0
Split Cost,Split Cost (p_s),75.0,220.3970768953573,2,Optimal,0.019775379043408307,371.4521749019623,371.4526562690735,371.50452709198,333496.0,4,13,13,5,220.3970768953573,0.0,0,213.19756308801655,0
Split Cost,Split Cost (p_s),187.5,220.3970768953555,2,Optimal,0.01881052851766471,162.21051597595215,162.21114492416382,162.2666220664978,224376.0,4,13,13,5,220.39707689535726,0.0,0,588.8525496041286,0
Split Cost,Split Cost (p_s),525.0,220.3970768953573,2,Optimal,0.019212003598605216,223.82527089118958,223.8258228302002,223.87933802604675,266536.0,4,13,13,5,220.3970768953573,0.0,0,2128.0,0
Soft TW Penalty,Soft TW Penalty (p_u),0.0,207.71580922203657,2,Optimal,0.0,79.958083152771,79.95876407623291,80.0115258693695,102927.0,4,13,13,5,207.71580922203657,0.0,0,9.894788414399507,0
Soft TW Penalty,Soft TW Penalty (p_u),0.625,220.39707689535726,2,Optimal,0.0193089705931623,142.2472128868103,142.24769592285156,142.29413104057312,192997.0,4,13,13,5,220.39707689535726,0.0,0,1316.0,0
Soft TW Penalty,Soft TW Penalty (p_u),2.5,220.3970768953573,2,Optimal,0.019775379043408307,320.4198398590088,320.4202971458435,320.4672679901123,333496.0,4,13,13,5,220.3970768953573,0.0,0,213.19756308801655,0
