analysis_param_group,parameter_name,parameter_value,objective_value,status_code,status_message,mip_gap,gurobi_runtime,wall_clock_solve_time,total_wall_clock_time,nodes_explored,num_routes,nodes_served_count,total_customer_nodes,fleet_size_used,cost_travel,cost_penalty_lateness,cost_split_delivery,total_lateness_value_agg,total_split_extra_visits_agg
Vehicle Capacity,Vehicle Capacity (V_star),125.0,257.13516837325193,9,Time Limit Reached,0.35765209083609906,60.043776988983154,60.044663190841675,60.13020300865173,28113.0,6,13,13,6,257.13516837325193,0.0,0,356.0,0
Vehicle Capacity,Vehicle Capacity (V_star),180.0,220.39707689535732,9,Time Limit Reached,0.14589835394315506,60.04041790962219,60.041181802749634,60.11208176612854,76692.0,4,13,13,5,220.39707689535732,0.0,0,587.4470548025154,0
Vehicle Capacity,Vehicle Capacity (V_star),234.0,203.18077787066238,2,Optimal,0.09955806427169683,18.028156042099,18.028613090515137,18.073591709136963,27221.0,3,13,13,4,203.18077787066238,0.0,0,849.0,0
Split Cost,Split Cost (p_s),22.5,220.48919711935122,9,Time Limit Reached,0.20817788402638032,60.02284002304077,60.02343487739563,60.077768087387085,70181.0,4,13,13,5,220.48919711935122,0.0,0,1446.0,0
Split Cost,Split Cost (p_s),75.0,220.39707689535732,9,Time Limit Reached,0.15635529498950732,60.03292798995972,60.03341007232666,60.08589315414429,69770.0,4,13,13,5,220.39707689535732,0.0,0,587.4470548025154,0
Split Cost,Split Cost (p_s),225.0,220.39707689535732,9,Time Limit Reached,0.10656285342137939,60.02333879470825,60.023857831954956,60.08131217956543,51159.0,4,13,13,5,220.39707689535732,0.0,0,1433.0,0
Soft TW Penalty,Soft TW Penalty (p_u),0.75,220.39707689535732,9,Time Limit Reached,0.17125406946622965,60.016530990600586,60.017104148864746,60.074058055877686,69079.0,4,13,13,5,220.39707689535732,0.0,0,1017.0,0
Soft TW Penalty,Soft TW Penalty (p_u),2.5,220.39707689535732,9,Time Limit Reached,0.15305146371315465,60.02576398849487,60.026280879974365,60.08658790588379,72105.0,4,13,13,5,220.39707689535732,0.0,0,587.4470548025154,0
Soft TW Penalty,Soft TW Penalty (p_u),7.5,220.39707689535732,9,Time Limit Reached,0.1526496952386653,60.024636030197144,60.02519989013672,60.08531665802002,65035.0,4,13,13,5,220.39707689535732,0.0,0,218.7321467583751,0
Vehicle Buffer,Vehicle Buffer (over Eq1 min),0.0,220.39707689535732,2,Optimal,0.09987405432077005,54.131056785583496,54.13171195983887,54.251872062683105,74252.0,4,13,13,4,220.39707689535732,0.0,0,68.30748834297695,0
Vehicle Buffer,Vehicle Buffer (over Eq1 min),1.0,220.39707689535732,9,Time Limit Reached,0.16564992884559557,60.01539087295532,60.01682209968567,60.088318824768066,63015.0,4,13,13,5,220.39707689535732,0.0,0,587.4470548025154,0
Vehicle Buffer,Vehicle Buffer (over Eq1 min),3.0,227.89016223239048,9,Time Limit Reached,0.3020012400233895,60.014564037323,60.015666007995605,60.09918212890625,23857.0,4,13,13,7,227.89016223239048,0.0,0,3484.326736206703,0
Demand Scaling Factor,Demand Scaling Factor,0.8,216.35477003332014,2,Optimal,0.09900488913393621,33.08861494064331,33.08917999267578,33.13810992240906,53846.0,4,13,13,4,216.35477003332014,0.0,0,254.06114844216913,0
Demand Scaling Factor,Demand Scaling Factor,1.0,220.39707689535732,9,Time Limit Reached,0.15493927059406296,60.022504806518555,60.023125886917114,60.077508211135864,70762.0,4,13,13,5,220.39707689535732,0.0,0,587.4470548025154,0
Demand Scaling Factor,Demand Scaling Factor,1.2,241.3731150838025,9,Time Limit Reached,0.2706038681872567,60.04461216926575,60.045315980911255,60.11272978782654,44709.0,5,13,13,6,241.3731150838025,0.0,0,2899.0,0
TW Deadline,TW Deadline (l_i) Scaling Factor,0.85,241.33310975038714,9,Time Limit Reached,0.2142676636700451,60.04139423370361,60.04208517074585,60.096956968307495,61778.0,5,13,13,5,241.33310975038714,0.0,0,750.5574361472898,0
TW Deadline,TW Deadline (l_i) Scaling Factor,1.0,220.39707689535732,9,Time Limit Reached,0.1550300681531861,60.0174720287323,60.01809477806091,60.07553791999817,70529.0,4,13,13,5,220.39707689535732,0.0,0,587.4470548025154,0
TW Deadline,TW Deadline (l_i) Scaling Factor,1.15,212.58618540485122,9,Time Limit Reached,0.13726346859614735,60.02467203140259,60.025209188461304,60.084737062454224,71721.0,4,13,13,5,212.58618540485122,0.0,0,420.5991112949368,0
